day_id,label,stratum,nutrition_tier,n_foods,total_mass_g,hefi_score,heni_minutes,hsr_stars,fcs_score,env_gw_per_100kcal,env_sustainability_score,env_cost_cad,top_pattern,pattern_confidence,rationale
D01,Deep-fried anti-pattern day,western_processed,low,6,1190.0,13.184636102121729,-16.4,1.6,1.0,0.3734794896763189,18.897285524814585,0.32597926568345725,dash,moderate,HEFI canonical anti-pattern; expect low nutrition across board.
D02,Mixed-balanced representative day,north_american,mid,10,1240.0,52.49850798506698,46.4,3.85,30.48,0.6092352698646122,39.85486202611925,0.4573231656991853,dash,moderate,Brassard population-mean band target (~43 HEFI).
D03,CFG-2019 aligned ideal day,cfg_plant_forward,high,12,1460.0,58.00252375461197,83.4,3.88,64.32,0.18197616343509262,47.80105411888525,0.13450335470224542,vegan,moderate,CFG ideal; HEFI ~67 literature target.
D04,Greek Mediterranean village day,mediterranean,high,6,550.0,40.76813629789808,32.0,3.17,38.45,0.24810858990597706,47.2746806633764,0.15676831398556226,mediterranean,moderate,DIET-PATTERN G3 mediterranean reference.
D05,Indian vegetarian thali day,vegetarian,mid,5,680.0,41.10929183379415,17.0,4.51,52.6,0.5157795860677319,40.64185133005097,0.4654558237381818,vegetarian,moderate,DIET-PATTERN G3 vegetarian reference.
D06,BBQ pulled-pork Western day,western_processed,low,5,810.0,21.623075977332213,2.8,2.62,1.0,1.559863169897377,20.401425688182737,1.4157035554908761,western,high,DIET-PATTERN G3 western anti-pattern.
D07,WAFCT West African staple day,west_african,mid,5,680.0,28.82213539998719,18.5,4.27,84.31,0.3791469194312797,32.32171735711515,0.2867548636138086,west_african_staple,high,WAFCT-EXTEND cross-database day; pattern west_african_staple.
D08,Vegan tofu stir-fry day,vegan,high,5,780.0,40.54353251970343,28.5,4.33,65.32,0.18596079352036624,41.248677140137275,0.1489472275299332,vegan,high,DIET-PATTERN G3 vegan reference.
D09,DASH-style day,dash,high,6,740.0,62.66413850990844,51.6,4.58,74.36,0.5116516479068672,39.80888445053261,0.40391157452557735,dash,high,DIET-PATTERN G3 DASH reference.
D10,CFG healthy plate day,cfg_plant_forward,high,5,580.0,62.10395295935448,44.1,4.41,100.0,0.2645900465449338,52.60326213042606,0.14608383059045066,cfg_healthy,moderate,DIET-PATTERN G3 cfg_healthy reference.
D11,EAT-Lancet reference day,planetary_health,high,6,677.0,51.71963087776763,53.0,4.7,88.42,0.08212087912087912,50.91273988597029,0.07656968638066018,vegan,moderate,DIET-PATTERN G3 eat_lancet reference.
D12,Italian Mediterranean pasta day,mediterranean,mid,5,475.0,39.24092990489609,20.5,3.78,55.54,0.09791251977747155,44.661799062047805,0.07397703235106041,mediterranean,moderate,DIET-PATTERN G3 mediterranean (Italian variant).
D13,Fast-food burger meal day,western_processed,low,5,850.0,21.809692166743265,2.1,3.17,11.15,1.5147647008765208,21.496999540352668,1.3657621814327054,western,high,DIET-PATTERN G3 fast-food western.
D14,Plant-forward quinoa dinner day,plant_forward,high,7,630.0,51.827560577474344,38.9,3.53,46.16,0.12686589578014718,53.266358607420884,0.09241390166958845,vegan,moderate,Cross-system plant-forward expanded to full day.
D15,Sardines + greens day,pescatarian,high,5,460.0,54.62080670939878,41.3,3.98,96.09,0.3606089438629877,55.126661583524864,0.17728733074467026,mediterranean,moderate,HENI literature extremum anchor (sardines).
D16,Sweet-beverage breakfast day,western_processed,low,7,755.0,31.56444276024824,31.2,2.1,34.97,0.5685559362150342,39.912529018450336,0.44957716678711135,dash,high,Cross-system sweet breakfast + modest lunch.
D17,Active adult 6-occasion day,north_american,mid,12,1113.0,42.14886607510263,52.3,2.98,45.22,1.1485640491772036,38.11417555675028,1.0226826210661046,dash,moderate,Recall ACTIVE pattern proxy (~2500 kcal).
D18,Beef-steak heavy day,red_meat,mid,6,680.0,28.99246670955929,1.7,2.11,17.06,1.8532492980192372,23.641276420251323,1.7066275955987364,dash,high,Red-meat dominant — nutrition/env tension exemplar.
D19,Legume-forward win-win day,plant_forward,high,7,930.0,49.08282366564085,46.5,4.72,93.86,0.07850953206239168,54.41594354554608,0.06346494151575167,vegan,moderate,Low-footprint plant protein day.
D20,High-dairy day,dairy_heavy,mid,6,900.0,7.8864339564438595,-20.3,2.37,1.0,0.7625974496022413,22.05441955708842,0.6970066331489218,dash,high,"Calcium-rich dairy pattern; moderate HEFI, moderate env."
D21,Low-calorie light day,light,mid,6,830.0,53.01647655259822,39.6,4.76,100.0,0.6123201770564369,49.91103221756674,0.4481477554379674,cfg_healthy,moderate,Low energy (~800 kcal); ratio metrics noisy.
D22,Ramen + processed meat day,ultra_processed,low,4,710.0,23.125459786290364,0.3,2.28,1.0,0.2562186399060532,25.596532699363966,0.18876394811516367,western,high,Ultra-processed convenience pattern.
D23,Sedentary 3-meal day,north_american,mid,8,860.0,33.17823954876574,17.1,3.44,1.0,1.2086871386816316,34.3151468887866,1.0986473727266486,vegetarian,moderate,Recall SEDENTARY pattern proxy (~1800 kcal).
D24,Youth lunchbox day,north_american,mid,5,508.0,28.12200214566459,35.9,3.63,8.85,0.5257621361319585,35.67257854335696,0.47341012750935524,dash,high,Typical school-age lunch pattern.
D25,Elderly light tea-and-toast day,light,mid,5,568.0,46.116806180880104,16.5,1.87,54.77,0.4048906053993655,36.564784787689746,0.3277227058133691,mediterranean,moderate,Small-portion older-adult pattern.
